,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Category and Program",,"1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","TQ","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015 estimate","2016 estimate","2017 estimate","2018 estimate","2019 estimate","2020 estimate"
"-Defense-related activities",,160,212,270,220,16,71,235,337,154,-10,156,240,-3,151,137,158,166,196,206,253,307,375,428,535,487,626,557,606,639,964,899,"1,577","1,202",921,981,984,"1,139","1,350","1,196","1,616","1,816","1,579","2,769","3,192","5,058","5,668","4,312","6,724","7,474","7,080","7,755","8,017","8,144","8,592","8,269","8,457","8,441","8,552","8,648","588,457"
"Nondefense:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-International Affairs",,"5,639","5,308","4,945","5,273","5,580","5,566","5,301","4,600","4,330","4,159","4,781","4,149","5,710","7,097","6,433","6,353","7,482","7,459","12,714","13,104","12,300","11,848","15,869","16,169","14,146","11,645","10,466","9,583","13,758","15,846","16,090","17,218","17,067","16,429","13,487","15,173","13,054","15,239","17,213","16,485","22,315","21,199","26,870","34,565","29,499","28,482","28,857","37,529","45,195","45,685","47,184","46,231","46,684","54,970","55,951","55,233","52,361","51,842","51,803","51,441"
"--International development and humanitarian assistance",,"2,883","3,079","3,367","3,357","3,478","3,085","2,879","2,484","2,341","2,296","2,394","1,741","2,430","3,134","2,636","2,823","2,647","2,910","3,626","4,131","3,772","3,955","4,478","5,408","4,967","4,319","4,703","4,836","5,498","5,141","6,132","5,825","7,048","7,598","6,160","6,003","5,395","5,653","6,516","7,185","7,812","10,324","13,807","17,696","16,693","15,524","14,074","22,095","19,014","21,255","21,882","22,551","23,532","26,785","25,410","25,000","24,012","23,747","23,666",
"--International security assistance",,"1,958","2,185","1,830","1,599","1,590","1,530","1,051","1,102","1,094","1,367","1,446","1,427","1,824","2,535","2,683","3,075","3,926","3,655","4,763","5,095","5,416","6,613","7,924","9,391","10,499","7,106","4,500","1,467","8,652","9,823","7,490","7,639","6,642","5,252","4,565","4,632","5,135","5,531","6,387","6,560","7,907","8,620","8,369","7,895","7,811","7,982","9,480","6,247","11,363","12,042","11,464","9,954","11,381","12,540","14,447","14,145","12,792","12,202","11,694",
"-General science, space and technology:",,"1,723","3,051","4,897","5,824","6,716","6,234","5,525","5,021","4,512","4,182","4,175","4,034","3,982","3,987","4,368","1,160","4,730","4,919","5,232","5,829","6,461","7,184","7,928","8,308","8,629","8,968","9,200","10,821","12,824","14,423","16,091","16,383","17,019","16,183","16,701","16,680","17,148","18,173","18,079","18,597","19,745","20,710","20,815","22,963","23,565","23,497","24,386","26,725","28,318","29,987","29,369","28,947","28,786","28,470","29,747","30,847","32,313","31,862","32,312","32,491"
"--General science and basic research (NSF)",,497,534,766,789,858,897,930,938,947,"1,009",979,961,"1,017","1,036","1,032",291,"1,072","1,154","1,295","1,380","1,469","1,591","1,638","1,839","2,022","2,212","2,243","2,408","2,628","2,815","3,134","3,545","3,927","3,820","4,108","3,987","4,092","5,307","5,633","6,170","6,509","7,237","7,935","8,326","8,787","9,006","9,128","9,525","9,921","11,617","12,337","12,345","12,357","11,911","12,172","12,703","13,969","13,225","13,406","13,391"
"--NASA",,"1,226","2,516","4,131","5,035","5,858","5,337","4,596","4,083","3,565","3,172","3,196","3,074","2,964","2,951","3,336",869,"3,658","3,766","3,937","4,450","4,992","5,593","6,290","6,469","6,607","6,756","6,957","8,413","10,196","11,609","12,957","12,838","13,092","12,363","12,593","12,693","13,056","12,866","12,446","12,427","13,236","13,473","12,880","14,637","14,778","14,491","15,258","17,200","18,397","18,370","17,032","16,602","16,429","16,559","17,575","18,144","18,344","18,637","18,906","19,100"
"Physical Resources",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-Energy",,604,530,572,699,612,782,"1,037","1,010",997,"1,035","1,296","1,237","1,303","2,916","4,204","5,770","7,991","9,179","10,156","15,166","13,527","9,353","7,073","5,608","4,690","4,072","2,296","2,705","3,341","2,436","4,499","4,319","5,218","4,936","2,839","1,475","1,270",911,-761,9,475,-725,-147,440,785,-852,631,"4,755","11,618","12,174","14,858","11,042","5,270","9,887","6,224","5,526","3,641","3,878","5,951","5,865"
"--Energy supply",,533,451,485,602,510,673,918,887,856,880,"1,089","1,007",969,"2,446","3,530","4,841","6,075","7,165","8,367","10,202","8,263","6,143","3,255","2,615","2,839","2,318",746,"1,230","1,976","1,945","3,226","3,286","3,899","3,584","1,649",626,181,-118,"-1,818","-1,145",-803,"-2,051","-1,536",-929,234,"-1,983",-413,"2,051","5,801","8,084","9,017","9,038","4,056","7,504","4,087","3,212","1,217","1,363","3,406",
"--Energy conservation",,"..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........",3,48,51,143,221,252,569,730,516,477,527,491,515,281,342,333,365,386,468,521,582,671,624,572,621,586,666,760,878,897,926,883,747,580,409,"1,432","4,997","6,736","4,941","1,240",910,"1,302","1,277","1,495","1,590","1,689","1,711",
"--Emergency energy preparedness",,"..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........",33,65,123,897,"1,021",342,"3,280","3,877","1,855","2,518","1,838",597,788,568,621,442,-235,319,336,275,223,141,23,233,225,162,159,169,182,158,162,-441,195,179,754,199,"-3,263",375,217,-140,460,261,287,296,278,281,
"--Energy information, policy, and regulation",,71,80,87,97,101,109,118,122,142,155,207,231,331,389,558,664,798,742,877,954,871,878,773,664,739,684,640,521,558,340,486,176,462,458,425,254,235,218,229,235,231,247,305,324,245,356,456,518,621,617,525,547,444,621,599,532,538,548,553,
"-Natural Resources and Environment",,"2,044","2,251","2,364","2,531","2,719","2,869","2,988","2,900","3,065","3,915","4,241","4,775","5,697","7,346","8,184","10,032","10,983","12,135","13,858","13,568","12,998","12,672","12,586","13,345","13,628","13,355","14,601","16,169","17,055","18,544","20,001","20,224","21,000","21,889","21,503","21,201","22,278","23,943","25,003","25,532","29,426","29,667","30,694","27,983","33,025","31,721","31,820","35,573","43,667","45,473","41,631","38,145","36,171","41,743","44,311","45,367","46,361","45,425","45,427",
"--Water resources",,"1,290","1,448","1,461","1,546","1,704","1,685","1,644","1,591","1,514","1,768","1,948","2,221","2,200","2,608","2,742","3,213","3,431","3,853","4,223","4,132","3,948","3,904","4,070","4,122","4,041","3,783","4,034","4,271","4,401","4,366","4,559","4,258","4,488","4,625","4,536","4,411","4,647","4,725","5,078","5,237","5,570","5,492","5,571","5,726","8,030","5,104","6,074","8,068","11,662","11,621","9,178","7,675","7,912","9,181","9,155","8,206","8,107","7,829","7,769",
"--Conservation and land management",,376,357,364,384,351,417,457,323,436,553,522,403,243,761,744,736,"1,229","1,070","1,348","1,490","1,365","1,787","1,615","1,860","1,749","1,822","2,589","3,792","4,030","4,646","5,268","5,498","5,789","5,958","5,980","5,669","6,204","6,367","6,762","7,109","9,797","9,739","9,758","6,226","7,813","9,646","8,718","9,813","10,783","11,955","11,101","10,723","9,707","13,173","13,751","14,038","14,786","14,849","14,771",
"--Recreational resources",,123,148,167,175,189,222,269,315,303,397,439,464,551,696,739,838,"1,207","1,239","1,372","1,297","1,154","1,170","1,263","1,230","1,141","1,206","1,268","1,336","1,388","1,531","1,681","1,890","1,871","1,998","1,933","2,029","2,092","2,657","2,540","2,311","2,735","2,843","2,944","2,990","3,042","2,956","3,208","3,550","3,911","4,157","3,752","3,506","3,362","3,673","4,255","5,030","5,721","5,710","5,510","39,709"
"--Pollution control and abatement",,70,87,117,134,158,190,249,303,384,702,764,"1,122","2,035","2,523","3,067","4,279","3,965","4,707","5,510","5,170","5,012","4,263","4,044","4,465","4,831","4,869","4,832","4,878","5,156","5,854","6,073","6,066","6,042","6,502","6,180","6,284","6,417","6,891","7,395","7,502","7,602","8,201","8,473","8,065","8,565","8,410","8,079","8,270","10,841","10,946","10,813","9,624","8,634","8,536","8,807","9,890","9,453","8,712","8,981",
"--Other natural resources",,186,212,255,292,317,354,370,368,428,495,567,565,668,757,891,966,"1,151","1,266","1,405","1,478","1,519","1,548","1,595","1,668","1,866","1,675","1,878","1,890","2,080","2,148","2,420","2,512","2,811","2,806","2,874","2,808","2,918","3,303","3,228","3,373","3,722","3,392","3,948","4,976","5,575","5,605","5,741","5,872","6,470","6,794","6,787","6,617","6,556","7,180","8,343","8,203","8,294","8,325","8,396",
"-Agriculture",,"3,562","4,384","4,609","3,954","2,447","2,990","4,544","5,826","5,166","4,290","5,227","4,821","2,194","2,997","3,109","6,734","11,301","11,176","8,774","11,241","15,866","22,807","13,477","25,427","31,319","26,466","17,088","16,698","11,637","14,886","14,922","20,081","14,795","9,671","9,035","8,889","12,077","22,879","36,458","26,252","21,965","22,496","15,439","26,565","25,969","17,662","18,387","22,237","21,356","20,662","17,791","29,678","24,386","21,797","22,288","26,427","24,649","19,843","18,728","6,876"
"--Farm income stabilization",,"3,222","4,047","4,241","3,551","2,004","2,515","4,032","5,304","4,589","3,651","4,553","4,099","1,458","2,160","2,249","5,735","10,228","9,895","7,441","9,783","14,344","21,316","11,828","23,702","29,570","24,697","15,223","14,699","9,550","12,743","12,499","17,557","12,219","7,037","6,478","6,261","9,313","20,039","33,442","22,746","18,371","18,302","11,182","22,043","21,405","13,089","13,756","17,628","16,478","15,875","13,061","25,213","20,012","15,975","16,832","20,975","19,004","14,200","13,062",
"--Agricultural research and services",,340,337,368,404,444,475,512,521,577,639,675,722,736,837,860,998,"1,073","1,281","1,333","1,458","1,522","1,491","1,649","1,725","1,749","1,770","1,865","1,999","2,087","2,143","2,423","2,524","2,575","2,634","2,557","2,628","2,764","2,840","3,016","3,506","3,594","4,194","4,257","4,522","4,564","4,573","4,631","4,609","4,878","4,787","4,730","4,465","4,374","5,822","5,456","5,452","5,645","5,643","5,666",
"Commerce and housing credit",,"1,342","1,364","1,177","1,634","1,850","2,243","2,102","1,039","2,100","2,687","1,907","1,969","2,418","2,851","2,764","1,154","3,455","3,369","3,801","5,079","4,273","3,582","3,516","3,674","3,681","2,869","2,409","2,368","3,334","3,834","3,346","2,625","2,103",853,"2,847","1,680","1,572",407,412,"4,408","1,390",971,-619,141,"2,074","1,828","1,741","3,046","7,706","6,520","-2,048",-192,"-13,974","-6,832","-4,891","-2,362","-2,847","-2,542","-1,573","1,565"
"-Transportation:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"--Ground transportation",,70,65,64,67,86,121,154,287,288,495,615,836,948,"2,128","9,106","2,202","9,467","9,943","11,650","14,761","14,765","13,163","13,883","14,603","17,076","17,899","16,199","17,391","16,950","17,611","18,028","18,869","19,862","22,283","23,451","23,591","24,955","24,525","26,626","30,602","34,595","39,031","35,813","39,930","41,583","44,212","45,877","49,165","53,575","59,984","60,180","60,490","59,384","59,975","3,178","2,836","2,431","2,277","1,950","1,774"
"--Air transportation",,737,772,801,864,890,983,"1,033","1,176","1,386","2,390","2,764","2,179","2,162","2,345","2,485",569,"2,736","3,200","3,320","3,673","3,731","3,480","3,911","4,436","4,934","5,341","5,556","5,888","6,621","7,233","8,187","9,316","10,049","10,146","10,020","10,135","10,138","10,594","10,720","10,571","11,617","14,147","23,086","17,123","18,937","18,803","18,589","19,816","20,893","21,656","21,707","22,039","21,707","21,425","21,480","22,141","21,810","21,785","21,460","21,600"
"--Water transportation",,617,655,646,717,695,749,841,857,895,"1,027","1,094","1,211","1,316","1,430","1,542","1,741","1,787","1,969","2,229","2,381","2,687","2,969","3,010","3,201","3,964","3,461","3,111","2,916","3,151","3,148","3,429","3,423","3,648","3,732","3,460","3,554","3,518","3,546","4,394","4,401","5,041","5,907","6,898","6,439","6,688","7,695","8,121","9,093","9,351","10,359","9,650","9,774","9,759","9,602","11,189","10,299","10,141","10,257","10,497","8,951"
"--Other transportation",,"..........","..........","..........","..........",3,6,13,21,26,37,36,56,57,74,65,76,61,93,104,110,90,99,85,137,136,91,116,124,146,223,244,281,333,301,320,280,199,214,191,267,96,328,242,331,342,296,118,294,406,352,336,430,406,619,503,510,469,474,480,"32,325"
"-Community and regional development",,432,527,894,"1,045","1,009","1,001","1,280","1,476","2,291","2,651","3,047","3,565","3,458","3,678","4,649","1,342","6,058","10,845","9,247","9,437","9,058","6,677","6,087","6,316","6,668","6,132","5,509","5,282","5,190","7,333","6,161","6,403","8,462","10,866","10,198","10,433","10,768","10,195","11,962","11,463","12,329","14,056","19,498","15,664","24,919","38,328","29,610","24,112","25,150","23,345","23,945","24,223","26,939","22,044","25,471","20,436","20,276","19,755","16,054","12,869"
"--Community development",,266,233,316,413,423,580,649,833,"1,449","1,728","2,100","2,044","2,108","2,318","2,772","3,411","3,298","4,000","4,907","5,070","4,608","4,353","4,520","4,598","4,094","3,679","3,448","3,693","3,530","3,543","3,643","3,681","4,133","4,744","4,860","4,962","5,118","5,116","5,480","5,313","5,998","6,346","6,167","5,861","5,845","11,834","10,198","7,719","9,901","9,605","8,769","7,814","7,896","8,876","8,289","7,989","7,306","6,536","5,407",
"--Area and regional development",,179,307,592,648,448,450,613,679,685,835,928,981,"1,339","1,607","2,149","2,961","5,672","4,868","4,303","3,818","3,841","3,212","3,034","3,113","2,723","1,599","2,075","1,894","2,902","2,745","2,317","2,541","2,337","2,723","2,727","2,741","2,512","2,327","2,538","2,634","2,633","2,397","2,351","2,745","2,580","2,514","2,584","3,221","3,249","4,050","4,424","1,540","3,027","4,129","3,592","3,279","3,386","3,686","3,825",
"--Disaster relief and insurance",,23,34,25,53,234,78,120,40,257,353,396,"1,580",782,398,522,649,"2,871","1,611","2,043","1,680",-102,-1,119,-35,416,-229,-230,-226,"2,098",522,876,"2,924","4,150","3,279","3,154","3,346","2,141","4,422","2,605","3,826","4,350","10,107","7,302","17,656","46,040","15,219","11,170","16,736","10,744","10,228","11,939","22,982","9,747","14,229","9,935","9,966","9,969","7,296","5,200",
"Education, training, employment and social services:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Education",,640,749,803,"1,002","2,143","3,253","3,778","3,654","4,317","4,877","5,357","5,470","5,469","7,098","7,554","1,878","8,549","9,170","10,876","12,366","12,784","11,257","12,062","12,147","13,651","14,262","14,811","15,657","17,446","18,352","20,364","22,528","24,722","24,642","25,164","25,162","25,708","27,977","30,306","33,663","37,689","43,333","50,920","54,822","59,410","60,655","59,821","61,759","80,604","109,253","91,917","73,456","66,784","71,834","70,872","73,247","75,048","74,575","75,821","76,400"
"Training, employment and social services",,291,327,418,781,"1,716","2,318","2,840","2,951","3,037","3,552","4,636","5,078","4,747","5,969","8,196","2,456","9,112","13,237","14,067","13,421","12,543","8,286","8,265","7,726","8,152","8,530","8,430","8,930","9,667","9,519","10,233","11,488","11,741","12,926","13,775","13,309","13,964","14,592","14,857","15,313","16,607","19,448","20,343","20,397","19,715","20,057","19,984","20,204","20,910","25,080","24,460","21,955","21,132","20,266","22,346","22,461","24,576","25,310","25,747","25,975"
"Total education, training, employment and social services",,931,"1,075","1,221","1,784","3,858","5,571","6,618","6,605","7,354","8,429","9,993","10,548","10,216","13,067","15,751","4,334","17,660","22,408","24,943","25,787","25,326","19,542","20,327","19,873","21,803","22,792","23,242","24,587","27,113","27,870","30,597","34,016","36,463","37,568","38,939","38,471","39,672","42,569","45,163","48,976","54,296","62,781","71,263","75,219","79,125","80,712","79,805","81,963","101,514","134,333","116,377","95,411","87,916","92,100","93,218","95,708","99,624","99,885","101,568","102,375"
"Health",,"1,087","1,283","1,563","1,495","1,735","2,152","2,560","2,843","3,143","3,417","3,997","4,567","4,749","5,821","6,715","1,581","6,935","7,294","7,513","8,471","9,102","8,983","8,537","8,930","9,602","10,231","10,653","12,151","13,055","14,863","16,164","17,966","19,652","20,512","22,025","22,592","22,959","24,894","26,977","29,922","33,157","39,414","44,243","47,736","50,481","51,347","52,380","54,049","56,601","65,386","62,746","60,313","57,070","55,727","59,822","59,975","60,008","60,044","60,479","61,195"
"Medicare",,"..........","..........","..........","..........",64,223,221,299,366,397,455,439,667,661,836,220,770,936,988,"1,080","1,222","1,256","1,342","1,531","1,735","1,718","1,727","1,972","2,254","2,299","2,444","2,846","2,650","2,914","2,971","2,953","2,575","2,589","2,753","2,998","3,323","3,156","3,724","4,470","4,304","4,989","4,632","4,941","4,998","5,159","5,730","5,775","6,017","6,385","6,427","6,739","7,026","7,155","7,280","7,373"
"Income security:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing assistance",,167,182,193,219,239,257,299,362,504,766,"1,156","1,652","1,825","2,128","2,504",656,"3,007","3,683","4,309","5,488","6,867","8,067","9,452","10,052","11,406","11,444","11,281","12,730","13,982","15,483","16,961","18,780","21,401","23,809","27,445","26,670","27,696","28,686","27,645","28,788","30,067","33,046","35,306","36,574","37,710","38,002","39,436","40,245","41,405","46,628","47,743","43,801","42,376","43,020","44,319","46,260","47,489","48,399","48,855","49,172"
"Other",,336,295,335,307,327,365,383,427,455,627,672,762,"1,022","1,368","2,270",474,"2,529","2,808","3,159","5,325","6,328","6,786","7,514","7,438","7,803","7,894","7,635","7,516","7,722","8,203","8,966","9,617","10,123","12,060","11,772","11,340","11,749","12,224","12,313","12,638","13,894","14,942","15,674","15,689","16,524","16,358","16,929","18,008","22,081","22,976","23,344","21,616","21,491","21,190","23,024","22,917","22,667","23,181","23,494","23,723"
"Total income security",,503,476,528,526,566,623,682,789,959,"1,393","1,829","2,414","2,847","3,496","4,774","1,130","5,536","6,491","7,468","10,813","13,195","14,852","16,966","17,489","19,209","19,338","18,916","20,246","21,703","23,687","25,927","28,397","31,525","35,869","39,217","38,010","39,445","40,910","39,958","41,426","43,961","47,988","50,980","52,263","54,234","54,360","56,365","58,253","63,486","69,604","71,087","65,417","63,867","64,210","67,343","69,177","70,156","71,580","72,349","72,895"
"Social security",,318,332,373,382,437,433,561,599,623,742,794,914,878,"1,101","1,200",304,"1,370","1,413","1,479","1,494","1,703","2,048","2,211","2,171","2,191","2,209","2,280","2,533","2,147","2,127","2,250","2,417","2,600","2,651","2,573","2,620","2,955","3,096","3,046","3,375","3,590","3,907","4,227","4,011","4,593","4,638","4,711","4,917","5,237","5,985","5,888","5,576","5,710","5,657","5,536","5,928","5,453","5,550","5,596","5,651"
"Veterans benefits and services",,"1,256","1,316","1,404","1,445","1,493","1,584","1,677","1,790","2,057","2,314","2,734","3,050","3,358","4,121","4,535","1,157","5,243","5,857","6,234","7,165","7,605","8,179","8,957","9,594","10,352","10,653","11,037","11,677","12,145","12,996","13,759","15,112","15,823","16,720","17,432","17,607","18,596","18,482","19,372","20,740","22,392","24,085","25,726","28,589","30,482","32,404","35,301","41,189","46,810","50,918","56,710","57,020","58,961","63,131","64,693","68,509","73,703","75,336","76,753","78,385"
"Administration of justice",,426,461,486,532,560,614,654,653,823,"1,156","1,507","1,978","2,371","2,877","3,411",913,"3,713","3,899","4,254","4,671","4,865","4,797","5,202","5,765","6,385","6,674","7,470","9,046","9,647","10,276","12,129","14,208","14,903","15,288","16,429","17,929","20,534","22,663","25,733","27,559","29,853","33,807","34,151","38,129","39,412","40,309","41,756","47,689","50,895","52,681","54,294","54,072","51,350","49,413","51,935","46,662","53,307","56,758","59,052","59,666"
"General government",,"1,266","1,356","1,647","1,596","1,702","1,863","1,898","1,940","2,292","2,447","2,961","3,284","3,773","3,720","3,545","2,090","5,896","4,637","4,724","5,213","5,286","5,659","5,951","6,435","6,643","7,177","7,230","7,979","8,219","8,916","10,237","10,908","11,759","11,550","12,190","11,511","11,730","11,524","11,987","11,859","12,639","14,113","15,304","16,063","16,496","16,027","15,855","16,857","17,748","19,450","19,780","19,535","17,604","15,762","17,079","18,755","19,915","20,133","21,289","21,896"
"Allowances 1",,"..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","..........","2,115","3,286","4,011","1,418"
"Total nondefense 1",,"19,525","21,575","24,098","26,771","31,145","34,483","35,826","34,602","38,342","43,522","49,206","53,300","57,487","70,349","85,701","25,744","99,556","114,061","123,221","141,694","149,949","140,019","143,428","151,402","162,683","164,688","161,644","173,499","184,798","200,437","213,574","231,202","247,323","259,074","271,199","266,772","275,363","281,745","296,650","319,661","342,966","384,998","419,397","441,008","474,938","496,657","493,722","522,450","580,812","658,312","647,736","615,564","576,378","582,221","557,520","563,189","581,176","586,252","591,582","593,995"
"Total outlays for discretionary programs",,"72,075","75,294","79,136","77,793","90,143","106,473","117,978","117,318","120,254","122,531","128,544","130,394","138,207","157,965","175,577","48,056","197,073","218,710","239,998","276,324","307,913","325,952","353,310","379,447","415,793","438,520","444,161","464,418","488,832","500,578","533,278","533,803","539,753","541,340","544,761","532,733","547,037","551,995","572,113","614,626","649,041","733,950","824,339","895,065","968,541","1,016,624","1,041,590","1,134,884","1,237,536","1,347,166","1,347,128","1,286,087","1,202,128","1,178,670","1,146,137","1,168,191","1,175,025","1,168,641","1,172,474","1,182,452"
